email,expertLabel,timestamp,which_phase,strategy,strategyLabel,strategyType,strategyGroup,exclude,range,lo,hi,comments_lo,comments_hi
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:50Z,2,evidence_based_interventions_gi_surgical,Interventions with limited evidence - GI surgery,inpatient admission avoidance,Planned surgical activity (adult),0,31,0,31,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:48Z,2,enhanced_recovery_colectomy,Enhanced recovery (colectomy),length of stay reduction,Planned surgical activity (adult),0,32,5,37,Very little progress to date.,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:59Z,2,enhanced_recovery_hip,Enhanced recovery (hip surgery),length of stay reduction,Planned surgical activity (adult),0,32,48,80,,Exemplar models and national guidance in place to support LOS reduction
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:21Z,2,enhanced_recovery_knee,Enhanced recovery (knee surgery),length of stay reduction,Planned surgical activity (adult),0,33,52,85,,Similar to THR. Exemplar sites and national guidance to support reduction.
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:37:05Z,2,evidence_based_interventions_vasuclar_varicose_veins,Interventions with limited evidence - Vascular,inpatient admission avoidance,Planned surgical activity (adult),0,36,36,72,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:44Z,2,evidence_based_interventions_general_surgery,Interventions with limited evidence - General surgery,inpatient admission avoidance,Planned surgical activity (adult),0,38,27,65,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:55Z,2,evidence_based_interventions_msk,Interventions with limited evidence - MSK,inpatient admission avoidance,Planned surgical activity (adult),0,42,24,66,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:31:42Z,2,bads_daycase,Elective surgery - recommended mainly day case,length of stay reduction,Planned surgical activity (adult),0,43,22,65,,"Changes to working hours provides some reduction, improving surgical/anaesthetic techniques."
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:39Z,2,evidence_based_interventions_ent,Interventions with limited evidence - ENT,inpatient admission avoidance,Planned surgical activity (adult),0,49,25,74,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:27Z,2,enhanced_recovery_prostate,Enhanced recovery (prostate surgery),length of stay reduction,Planned surgical activity (adult),0,50,30,80,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:37:00Z,2,evidence_based_interventions_urology,Interventions with limited evidence - Urology,inpatient admission avoidance,Planned surgical activity (adult),0,75,9,84,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:34:42Z,2,bads_outpatients,Elective surgery - recommended mainly outpatient procedure,length of stay reduction,Planned surgical activity (adult),0,83,17,100,,Infrastructure improvements to facilitate greater pace towards outpatient procedures.
8SRTbIMZk0rnohg1VCJZngRMDK5vwT9wQOzbeiFhVGc=,e17,2023-11-02T16:07:39Z,2,ambulatory_care_conditions_chronic,Ambulatory care sensitive admissions (chronic conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,78,8,86,unlikey to go down,integrated care
8SRTbIMZk0rnohg1VCJZngRMDK5vwT9wQOzbeiFhVGc=,e17,2023-11-02T16:07:32Z,2,ambulatory_care_conditions_acute,Ambulatory care sensitive admissions (acute conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,80,10,90,Assumption is still this is going down- i find this strange,"Community services adequately resourced
integrated care
access to GPs"
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:29:39Z,2,enhanced_recovery_bladder,Enhanced recovery (bladder surgery),length of stay reduction,Planned surgical activity (adult),0,10,4,14,"Increased complexity of presentation - waiting for procedures and patients not consulting GP and delayed referrals to specialist care 
Low uptake and funding for prehab services ","Prehab services supporting more patients before their surgery - with increased education and expectation management
Advancements in surgical techniques (e.g. robotic surgery) meaning less recovery time needed "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:27:27Z,2,bads_daycase_occasional,Elective surgery - recommended occasional day case,length of stay reduction,Planned surgical activity (adult),0,14,0,14,Increased complexity of conditions presenting for elective surgery ,Advances in surgical techniques
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:30:04Z,2,enhanced_recovery_colectomy,Enhanced recovery (colectomy),length of stay reduction,Planned surgical activity (adult),0,18,8,26,"This sort of surgery carries a huge stigma of having colostomy bags 
This is complex/major surgery with many associated risks and complications 
Less stoma care specialists available - workforce shortages ","Increased med tech developments for colostomy bag management 
Robotic surgery allowing faster recovery
Increased public health awareness of large bowel problems - better diets 
"
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:27:44Z,2,bads_outpatients,Elective surgery - recommended mainly outpatient procedure,length of stay reduction,Planned surgical activity (adult),0,19,70,89,Increased patient expectations of wanting to be admitted for safety,"Advances in surgical techniques 
Better patient expectation management - educating the public on the benefits of outpatient procedures 
"
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:24:23Z,2,ambulatory_emergency_care_low,Ambulatory emergency care (low potential),length of stay reduction,Emergency department and acute medicine activity,0,20,72,92,Better public education on the appropriate use of emergency care ,increasing complexity presenting to emergency care 
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:22:34Z,2,ambulatory_emergency_care_high,Ambulatory emergency care (high potential),length of stay reduction,Emergency department and acute medicine activity,0,23,7,30,"Unavailability of AEC services 
Clinical advancements and innovations not scaling nationally  ","Advancements in clinical practice (greater innovations)
High availability of AEC services
Greater awareness of AEC amongst the public "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:27:08Z,2,bads_daycase,Elective surgery - recommended mainly day case,length of stay reduction,Planned surgical activity (adult),0,23,8,31,"Prioritising complex elective cases over day case surgery
Lack of Workforce and their availability to do everything","A greater focus on patient experience, greater shared decision making between clinicians and patients
More access to these services perhaps even outside of a hospital setting "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:28:47Z,2,emergency_elderly,Emergency admissions of older people,length of stay reduction,Hospital activity ameanable to primary care and community interventions,0,23,0,23,"Increased complexity and complications with frailty
Continued disconnect between primary care, community and acute care service provision  ","Better community care options and support systems 
New build specialty DTOC centres which are staffed differently to a hospital and are GP/Nurse/AHP led.  "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:29:48Z,2,enhanced_recovery_breast,Enhanced recovery (breast surgery),length of stay reduction,Planned surgical activity (adult),0,23,67,90,"Waiting lists increasing and presentation to specialist care delayed with associated increased complexity 
","Increased awareness of breast self-care and earlier presentation to specialist care
Better Public health screening programmes (mammography)
Enhanced reconstruction techniques  
Drug therapy improvements "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:31:17Z,2,preop_los,Elective spells with overnight stay before surgery,length of stay reduction,Planned surgical activity (adult),0,23,54,77,"Innovation stasis in healthcare - not getting to scale
Lack of robust evidence to support non-admission pre-op
An increasingly risk averse and letigeous culture ","The trend for this clinical need is decreasing
Learnings from the pandemic
Increasing recognition of complications from being in hospital any longer than needed
Greater evidence for the impact of prehab services to enhance surgical outcomes  "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:27:57Z,2,bads_outpatients_or_daycase,Elective surgery - recommended mainly outpatient procedure or day case,length of stay reduction,Planned surgical activity (adult),0,25,20,45,"Lack of Community/carer support  after a day case/outpatient procedure
Primary care overwhelmed by patients needing pain management/rehab after these procedures ","Safer techniques with better pain control, wound care and healing 
Better patient expectations for these procedures to be done as day cases "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:30:58Z,2,enhanced_recovery_hysterectomy,Enhanced recovery (hysterectomy),length of stay reduction,Planned surgical activity (adult),0,26,40,66,"Traditional approaches being maintained 
","Enhanced surgical techniques (e.g. robotics and minimally invasive techniques) making recovery faster 
Increasingly hysterectomies are performed as outpatient procedures 
"
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:31:06Z,2,enhanced_recovery_knee,Enhanced recovery (knee surgery),length of stay reduction,Planned surgical activity (adult),0,29,55,84,"Increased complexity of presentation from delays in accessing care/specialist services
","Better surgical technique making recovery faster
Enhanced prosthesis development 
Innovations like autologous cartilage production could mitigate the need for knee replacement
Better availability and funding or prehab services
Minimally invasive procedures e.g. meniscetomies  done as day case "
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:26:53Z,2,ambulatory_emergency_care_very_high,Ambulatory emergency care (very high potential),length of stay reduction,Emergency department and acute medicine activity,0,44,17,61,"
Clinical decision making being constrained by increasing regulation - erring on the side of admission even when the potential for managing in AEC is high. ",Increasing access to AEC and both clinical and public familiarity with these services 
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:24:34Z,2,ambulatory_emergency_care_moderate,Ambulatory emergency care (moderate potential),length of stay reduction,Emergency department and acute medicine activity,0,68,20,88,Increased public education on what should be presented to emergency care ,Increased complexity presenting to emergency care 
9LWqbANEfxxfJCk08QCoaQm3KadWBjlVv6s8E6jQrLY=,e09,2023-10-27T10:30:48Z,2,enhanced_recovery_hip,Enhanced recovery (hip surgery),length of stay reduction,Planned surgical activity (adult),0,77,19,96,Waiting list increases and more complexity in presentation ,"Enhanced surgical techniques making recovery faster 
More prehab services available and funded 
Advances in prostheses "
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:05:40Z,2,medicines_related_admissions_explicit,Medicines related admissions (explicit),inpatient admission avoidance,Hospital activity ameanable to medicines management,0,1,4,5,"Failure to follow up patients 
Failure for patients to comply 
Education staff and patient ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:01:51Z,2,frail_elderly-high,Frail elderly admissions (high frailty risk),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,3,3,6,"Aging population 
comorbidities
lack community support",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:21Z,2,medicines_related_admissions_implicit_nsaids,Medicines related admissions (implicit - NSAIDS),inpatient admission avoidance,Hospital activity ameanable to medicines management,0,3,2,5,"Failure to follow up patients 
Failure for patients to comply 
Education staff and patient ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:49Z,2,raid_ip,Admissions with mental health comorbidities,length of stay reduction,Hospital activity ameanable to psychiatric liaison and community psychiatry,0,3,4,7,"increased mental health issues in population 
Lack of MH support 
No continuity of support for those patient before crisis 
",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:51:49Z,2,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),inpatient admission avoidance,Hospital activity amenable to public health interventions,0,4,2,6,"Social economic climate supports no change in behaviour and lack of awareness  
Lack of community support",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:51:47Z,2,alcohol_wholly_attributable,Alcohol related admissions (wholly attributable),inpatient admission avoidance,Hospital activity amenable to public health interventions,0,4,3,7,"Social economic climate supports no change in behaviour and lack of awareness  
Lack of community support",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:57:45Z,2,consultant_to_consultant_referrals-child_non-surgical,Consultant to consultant referrals (child surgical),outpatient attendance avoidance,Planned paediatric activity,0,4,4,8,I believe that this issues is already well managed via performance monitoring ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:58:03Z,2,consultant_to_consultant_referrals-child_surgical,Consultant to consultant referrals (child non-surgical),outpatient attendance avoidance,Planned paediatric activity,0,4,7,11,I believe that this issues is already well managed via performance monitoring ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:01:06Z,2,falls_related_admissions,Falls related admissions,inpatient admission avoidance,Hospital activity amenable to public health interventions,0,4,3,7,"Aging population 
comorbidities
lack community support
 ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:01:34Z,2,followup_reduction-child_non-surgical,Follow-up attendances (child surgical),outpatient attendance avoidance,Planned paediatric activity,0,4,3,7,Risk aversion in management of children's health care ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:05:34Z,2,medically_unexplained_related_admissions,Medically unexplained symptoms admissions,inpatient admission avoidance,Hospital activity ameanable to psychiatric liaison and community psychiatry,0,4,0,4,,"Better GP access 
Improved patient education 
Pharmacy support "
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:58:10Z,2,emergency_elderly,Emergency admissions of older people,length of stay reduction,Hospital activity ameanable to primary care and community interventions,0,5,5,10,"Aging population 
increased comorbidity 
Lack community resources 
socio cultural changes 
increased life expectancy 
risk adversity ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:49:32Z,2,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),inpatient admission avoidance,Hospital activity amenable to public health interventions,0,6,4,10,Social economic climate supports no change in behaviour and lack of awareness  ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:54:34Z,2,bads_daycase_occasional,Elective surgery - recommended occasional day case,length of stay reduction,Planned surgical activity (adult),0,6,8,14,"clinical criteria of patient 
patient choice ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:59:09Z,2,enhanced_recovery_rectum,Enhanced recovery (rectal surgery),length of stay reduction,Planned surgical activity (adult),0,6,4,10,"Criteria of patient post operatively
comorbidities of patients 
 ","Increased screening programme 
advancements on surgical techniques being les invasive "
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:01:45Z,2,followup_reduction-child_surgical,Follow-up attendances (child non-surgical),outpatient attendance avoidance,Planned paediatric activity,0,6,3,9,Risk aversion in the management in children's health care ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:05:00Z,2,left_before_treatment-child_ambulance,Patients who leave before being seen (child ambulance conveyed),A&E attendance avoidance,Emergency department and acute medicine activity,0,6,7,13,Risk aversion of child care health management ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:05:53Z,2,medicines_related_admissions_implicit_anti_diabetics,Medicines related admissions (implicit - anti-diabetics),inpatient admission avoidance,Hospital activity ameanable to medicines management,0,6,2,8,"Failure to follow up patients 
Failure for patients to comply 
Education staff and patient ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:44Z,2,raid_ae,Mental health admissions via ED,inpatient admission avoidance,Hospital activity ameanable to psychiatric liaison and community psychiatry,0,6,2,8,No confidence in increased MH bed provision ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:54Z,2,readmission_within_28_days,Emergency readmissions within 28 days,inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,6,5,11,"Demand driving early discharge 
Lack of follow up services 
Patient education 
",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:51:43Z,2,ambulatory_care_conditions_chronic,Ambulatory care sensitive admissions (chronic conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,7,6,13,"Comorbidities 
Aging population 
Lack of community resource 
lack of education ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:51:41Z,2,ambulatory_care_conditions_vaccine_preventable,Ambulatory care sensitive admissions (vaccine preventable conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,7,4,11,"Comorbidities 
Aging population 
Lack of community resource 
lack of education 
Prevalence ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:59:18Z,2,eol_care-0-2_days,End of life care admissions (died within 2 days),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,7,5,12,"Patient choice and family choice 
community support 
",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:57:22Z,2,consultant_to_consultant_referrals-adult_surgical,Consultant to consultant referrals (adult non-surgical),outpatient attendance avoidance,Planned medical activity (adult),0,8,0,8,I believe that this issues is already well managed via performance monitoring ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:58:38Z,2,enhanced_recovery_hysterectomy,Enhanced recovery (hysterectomy),length of stay reduction,Planned surgical activity (adult),0,8,6,14,Clinical acuity of patient ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:59:27Z,2,eol_care-3+_days,End of life care admissions (died within 3-14 days),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,8,5,13,"Patient choice and family choice 
community support 
Inability to facilitate discharge with partner organisations  ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:59:55Z,2,evidence_based_interventions_gi_surgical,Interventions with limited evidence - GI surgery,inpatient admission avoidance,Planned surgical activity (adult),0,8,4,12,"Primary care management of patients 
comorbidities of increasing elderly referrals
 
",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:04:37Z,2,intentional_self_harm,Intentional self-harm admission,inpatient admission avoidance,Hospital activity ameanable to psychiatric liaison and community psychiatry,0,8,4,12,"Increasing prevalence of metal illness 
lack of community support 
social media impact 

",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:15Z,2,medicines_related_admissions_implicit_diurectics,Medicines related admissions (implicit - diuretics),inpatient admission avoidance,Hospital activity ameanable to medicines management,0,8,4,12,"Failure to follow up patients 
Failure for patients to comply 
Education staff and patient ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:51:45Z,2,ambulatory_care_conditions_acute,Ambulatory care sensitive admissions (acute conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,9,7,16,"Comorbidities 
Aging population 
Lack of community resource 
lack of education ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:04:04Z,2,frail_elderly-intermediate,Frail elderly admissions (intermediate frailty risk),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,9,2,11,"Aging population 
comorbidities
lack community support",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:05:29Z,2,low_cost_discharged-child_walk-in,Low cost discharged attendances (child walk-in),A&E attendance avoidance,Emergency department and acute medicine activity,0,9,4,13,"Lack of Alternative option for service user 
Overly complicated pathways solutions for service providers and limited awareness 
Financial model does not incentivise out of hospital service and any investment has long returns 
Risk adverse providers in children's care management ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:07:45Z,2,zero_los_no_procedure-adult,Admission with no overnight stay and no procedure (adults),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,9,13,22,"Patient criteria volume 
secondary care support not available 
","Integrated working 
public education 
family support "
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:07:50Z,2,zero_los_no_procedure-child,Admission with no overnight stay and no procedure (children),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions,0,9,10,19,"Patient criteria volume 
secondary care support not available ","Integrated working 
public education 
family support 
online support "
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:57:00Z,2,consultant_to_consultant_referrals-adult_non-surgical,Consultant to consultant referrals (adult surgical),outpatient attendance avoidance,Planned surgical activity (adult),0,10,3,13,I believe that this issues is already well managed via performance monitoring ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T10:59:45Z,2,evidence_based_interventions_general_surgery,Interventions with limited evidence - General surgery,inpatient admission avoidance,Planned surgical activity (adult),0,10,7,17,Already achieved within limited scope for improvement ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:00:12Z,2,evidence_based_interventions_msk,Interventions with limited evidence - MSK,inpatient admission avoidance,Planned surgical activity (adult),0,10,20,30,"Already achieved with physio intervention
Increased obesity and poor functional management of  health ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:00:23Z,2,evidence_based_interventions_urology,Interventions with limited evidence - Urology,inpatient admission avoidance,Planned surgical activity (adult),0,10,13,23,Already achieved via diagnostic interventions ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:00:48Z,2,excess_beddays_elective,Excess beds days (elective admissions),length of stay reduction,Hospital activity ameanable to primary care and community interventions,0,10,9,19,"demand 
lack of FU resource
detreated pre-operative patient presentation 
Limited cold site operating 

 ","Improved patient pathways 
ring fenced elective delivery models "
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:05:10Z,2,left_before_treatment-child_walk-in,Patients who leave before being seen (child walk-in),A&E attendance avoidance,Emergency department and acute medicine activity,0,10,7,17,Risk aversion in children's health care management via alternative sources ,
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:05Z,2,medicines_related_admissions_implicit_benzodiasepines,Medicines related admissions (implicit - benzodiazepines),inpatient admission avoidance,Hospital activity ameanable to medicines management,0,10,4,14,"Failure to follow up patients 
Failure for patients to comply 
Education staff and patient ",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:06:26Z,2,obesity_related_admissions,Obesity related admissions,inpatient admission avoidance,Hospital activity amenable to public health interventions,0,10,0,10,"Lack of evidence that the obesity  problem is reducing 
Lack of incentive for pubic to tackle and own their own health management  ","If education is firmly in place 
"
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:07:04Z,2,stroke_early_supported_discharge,Stroke early supported discharge,length of stay reduction,Hospital activity ameanable to primary care and community interventions,0,10,7,17,"Access to specialist centres 
availability  to community support 
Social/Cultural support for patients discharged

",
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T14:07:34Z,2,tele_conversion-child_surgical,Telephone appointments (child non-surgical),outpatient delivery mode,Planned paediatric activity,0,10,9,19,Increased risk aversion in children's virtual health care management and difficult virtually to assess if a child is in harm ,This service could improve if improved digital technology was in place and electronic patient records to enable robust decision making.
bqlTtP9X1ZXk13whekpynZbbxa3DWFnWHwI6otmgozU=,e02,2023-10-26T11:01:20Z,2,followup_reduction-adult_surgical,Follow-up attendances (adult non-surgical),outpatient attendance avoidance,Planned medical activity (adult),0,11,10,21,"A good deal of work has been implemented in reducing this scenario and bringing areas in line with national performance.  The only improvement that could increase this would be by stopping a routine follow up and just offering a patient initiated option instead 
Improved patient post operative education ",
